ntrees_nsamples_ndepth_nfeats,bal_acc,(bal_acc),avg_prec,(avg_prec),roc_auc,(roc_auc),f1,(f1),avg_metrics
200_1.0_2_0.25,0.758,0.021,,,,,,,
800_0.4_3_0.33,0.757,0.007,,,,,,,
400_0.4_3_0.33,0.756,0.007,,,,,,,
400_1.0_3_0.33,0.755,0.013,,,,,,,
200_0.6_none_0.50,0.755,0.014,,,,,,,
400_0.8_3_0.33,0.755,0.008,,,,,,,
200_0.8_3_0.33,0.755,0.006,,,,,,,
200_1.0_3_0.33,0.754,0.008,,,,,,,
600_0.5_2_0.45,0.754,0.015,,,,,,,
200_0.2_2_0.45,0.754,0.016,,,,,,,
400_0.6_none_0.50,0.754,0.016,,,,,,,
800_0.2_3_0.50,0.753,0.008,,,,,,,
200_0.5_2_0.45,0.753,0.011,,,,,,,
200_0.6_3_0.33,0.753,0.006,,,,,,,
200_0.4_3_0.33,0.753,0.01,,,,,,,
200_0.2_3_0.50,0.752,0.009,,,,,,,
200_1.0_2_0.45,0.752,0.018,,,,,,,
400_0.2_3_0.50,0.752,0.007,,,,,,,
200_0.4_3_0.50,0.751,0.009,,,,,,,
600_1.0_2_0.45,0.749,0.016,,,,,,,
400_0.4_3_0.50,0.748,0.008,,,,,,,
400_0.6_3_0.50,0.748,0.013,,,,,,,
800_0.4_3_0.50,0.747,0.01,,,,,,,
200_1.0_3_0.50,0.747,0.012,,,,,,,
400_0.8_3_0.50,0.746,0.011,,,,,,,
800_0.6_3_0.50,0.745,0.009,,,,,,,
200_0.8_3_0.50,0.744,0.012,,,,,,,
200_0.2_2_0.20,0.744,0.014,,,,,,,
200_0.6_3_0.50,0.743,0.013,,,,,,,
400_0.6_2_0.20,0.742,0.011,,,,,,,
800_0.2_2_0.20,0.742,0.01,,,,,,,
400_1.0_3_0.50,0.742,0.012,,,,,,,
200_0.6_2_0.33,0.741,0.009,,,,,,,
200_0.4_2_0.20,0.74,0.014,,,,,,,
200_0.6_2_0.20,0.738,0.01,,,,,,,
200_1.0_2_0.20,0.738,0.011,,,,,,,
400_0.8_2_0.20,0.737,0.012,,,,,,,
400_1.0_2_0.20,0.737,0.013,,,,,,,
800_0.6_2_0.20,0.736,0.01,,,,,,,
400_0.2_2_0.33,0.736,0.01,,,,,,,
400_0.2_2_0.20,0.736,0.01,,,,,,,
800_0.2_2_0.33,0.735,0.01,,,,,,,
800_0.4_2_0.20,0.735,0.008,,,,,,,
800_0.2_2_0.50,0.734,0.008,,,,,,,
400_0.4_2_0.20,0.734,0.012,,,,,,,
200_0.2_2_0.50,0.734,0.011,,,,,,,
400_0.6_2_0.33,0.733,0.007,,,,,,,
400_0.4_2_0.33,0.733,0.007,,,,,,,
200_0.8_2_0.20,0.733,0.012,,,,,,,
800_0.4_2_0.33,0.732,0.008,,,,,,,
800_0.4_none_0.20,0.732,0.012,,,,,,,
800_0.4_none_0.33,0.732,0.015,,,,,,,
800_0.6_2_0.33,0.732,0.008,,,,,,,
200_0.4_none_0.20,0.732,0.009,,,,,,,
400_0.4_none_0.33,0.732,0.012,,,,,,,
200_0.4_none_0.33,0.73,0.014,,,,,,,
200_0.8_2_0.33,0.73,0.011,,,,,,,
400_1.0_2_0.33,0.73,0.011,,,,,,,
400_0.4_none_0.20,0.73,0.011,,,,,,,
400_0.8_2_0.33,0.73,0.009,,,,,,,
800_0.4_2_0.50,0.73,0.008,,,,,,,
200_0.2_2_0.33,0.729,0.01,,,,,,,
200_1.0_2_0.33,0.729,0.01,,,,,,,
800_0.4_none_0.50,0.729,0.011,,,,,,,
200_0.4_2_0.33,0.729,0.012,,,,,,,
400_0.2_2_0.50,0.729,0.012,,,,,,,
400_0.8_2_0.50,0.727,0.014,,,,,,,
200_0.4_2_0.50,0.727,0.013,,,,,,,
200_1.0_2_0.50,0.727,0.012,,,,,,,
200_0.8_2_0.50,0.726,0.01,,,,,,,
400_0.4_none_0.50,0.725,0.014,,,,,,,
400_0.6_2_0.50,0.724,0.01,,,,,,,
200_0.4_none_0.50,0.724,0.013,,,,,,,
800_0.6_2_0.50,0.724,0.011,,,,,,,
400_0.4_2_0.50,0.721,0.012,,,,,,,
200_0.6_2_0.50,0.721,0.009,,,,,,,
400_1.0_2_0.50,0.72,0.01,,,,,,,
400_0.2_1_0.20,0.717,0.02,,,,,,,
400_0.8_1_0.20,0.715,0.013,,,,,,,
800_0.6_1_0.20,0.715,0.015,,,,,,,
200_0.4_1_0.20,0.714,0.02,,,,,,,
200_0.2_1_0.20,0.714,0.012,,,,,,,
800_0.2_1_0.20,0.713,0.015,,,,,,,
800_0.4_1_0.20,0.712,0.012,,,,,,,
400_0.6_1_0.20,0.71,0.022,,,,,,,
200_0.8_1_0.20,0.71,0.016,,,,,,,
200_1.0_1_0.20,0.709,0.021,,,,,,,
400_0.4_1_0.20,0.705,0.016,,,,,,,
800_0.2_1_0.33,0.704,0.017,,,,,,,
400_1.0_1_0.20,0.704,0.019,,,,,,,
200_0.6_1_0.33,0.703,0.029,,,,,,,
200_0.6_1_0.20,0.702,0.024,,,,,,,
600_1.0_none_0.25,0.696,0.009,,,,,,,
600_1.0_none_0.45,0.696,0.007,,,,,,,
200_1.0_none_0.25,0.695,0.008,,,,,,,
200_1.0_none_0.45,0.695,0.007,,,,,,,
400_0.2_1_0.33,0.695,0.013,,,,,,,
400_0.6_1_0.33,0.692,0.016,,,,,,,
400_0.4_1_0.33,0.692,0.021,,,,,,,
800_0.4_1_0.33,0.69,0.021,,,,,,,
800_0.2_1_0.50,0.69,0.017,,,,,,,
200_0.8_1_0.33,0.689,0.024,,,,,,,
200_0.2_1_0.33,0.688,0.012,,,,,,,
800_0.6_1_0.33,0.685,0.021,,,,,,,
400_0.2_1_0.50,0.684,0.017,,,,,,,
400_0.4_1_0.50,0.684,0.017,,,,,,,
800_0.6_1_0.50,0.684,0.016,,,,,,,
200_0.4_1_0.33,0.683,0.017,,,,,,,
400_0.8_1_0.33,0.683,0.018,,,,,,,
800_0.4_1_0.50,0.682,0.018,,,,,,,
200_0.6_1_0.50,0.68,0.017,,,,,,,
400_1.0_1_0.33,0.68,0.021,,,,,,,
200_0.4_1_0.50,0.679,0.016,,,,,,,
200_0.2_1_0.50,0.679,0.018,,,,,,,
200_1.0_1_0.33,0.677,0.026,,,,,,,
400_0.6_1_0.50,0.677,0.014,,,,,,,
200_0.8_1_0.50,0.668,0.016,,,,,,,
400_1.0_1_0.50,0.666,0.023,,,,,,,
800_0.2_none_0.33,0.664,0.011,,,,,,,
400_0.2_none_0.50,0.662,0.011,,,,,,,
400_0.2_none_0.20,0.662,0.01,,,,,,,
200_1.0_1_0.50,0.662,0.029,,,,,,,
800_0.2_none_0.20,0.661,0.009,,,,,,,
400_0.2_none_0.33,0.661,0.009,,,,,,,
800_0.2_none_0.50,0.66,0.01,,,,,,,
400_0.8_1_0.50,0.659,0.025,,,,,,,
200_0.2_none_0.50,0.658,0.01,,,,,,,
200_0.2_none_0.33,0.658,0.007,,,,,,,
200_0.2_none_0.20,0.657,0.012,,,,,,,
200_0.5_none_0.45,0.647,0.005,,,,,,,
600_0.5_none_0.45,0.645,0.005,,,,,,,
200_0.5_none_0.25,0.643,0.008,,,,,,,
600_0.5_none_0.25,0.641,0.004,,,,,,,
600_0.2_none_0.45,0.564,0.007,,,,,,,
