ntrees_nsamples_ndepth_nfeats,bal_acc,(bal_acc),avg_prec,(avg_prec),roc_auc,(roc_auc),f1,(f1),avg_metrics
600_1.0_4_0.15,0.793,0.008,0.316,0.014,0.902,0.009,0.064,0.001,0.609
600_0.2_4_0.10,0.797,0.007,0.309,0.013,0.905,0.008,0.064,0.001,0.607
600_0.1_4_0.01,0.785,0.012,0.31,0.011,0.901,0.011,0.061,0.002,0.6055
600_0.1_4_0.10,0.792,0.008,0.303,0.019,0.908,0.008,0.062,0.001,0.6055
600_1.0_4_0.10,0.794,0.007,0.305,0.014,0.901,0.009,0.064,0.001,0.603
600_0.5_4_0.10,0.794,0.008,0.301,0.012,0.904,0.009,0.064,0.001,0.6025
600_1.0_4_0.50,0.795,0.009,0.293,0.013,0.898,0.012,0.067,0.001,0.5955
600_0.2_4_0.05,0.796,0.008,0.286,0.012,0.903,0.009,0.064,0.001,0.5945
600_0.1_4_0.02,0.786,0.008,0.285,0.016,0.898,0.01,0.062,0.002,0.5915
600_0.1_4_0.05,0.787,0.008,0.283,0.017,0.9,0.009,0.062,0.002,0.5915
600_0.5_4_0.05,0.795,0.008,0.278,0.017,0.902,0.008,0.064,0.001,0.5900000000000001
600_1.0_4_0.05,0.791,0.01,0.277,0.019,0.899,0.009,0.063,0.002,0.5880000000000001
600_0.2_4_0.02,0.793,0.01,0.277,0.012,0.898,0.009,0.063,0.001,0.5875
600_0.5_4_0.02,0.795,0.009,0.267,0.011,0.9,0.008,0.064,0.002,0.5835
600_1.0_4_0.02,0.792,0.009,0.266,0.015,0.897,0.008,0.063,0.001,0.5815
