c_kernel_gamma_feats,bal_acc,(bal_acc),avg_prec,(avg_prec),roc_auc,(roc_auc),f1,(f1),kernel,feats,C,gamma,degree,coef0,avg_metric
0.001_linear_nogamma_both,0.8,0.01,0.499,0.025,0.916,0.017,0.52,0.012,linear,both,0.001,,,,0.7075
0.010_linear_nogamma_both,0.767,0.018,0.476,0.026,0.902,0.02,0.515,0.028,linear,both,0.01,,,,0.6890000000000001
0.100_linear_nogamma_both,0.765,0.013,0.461,0.025,0.902,0.02,0.513,0.023,linear,both,0.1,,,,0.6815
1.000_linear_nogamma_both,0.765,0.013,0.461,0.025,0.902,0.02,0.513,0.023,linear,both,1.0,,,,0.6815
10.000_linear_nogamma_both,0.765,0.013,0.461,0.025,0.902,0.02,0.513,0.023,linear,both,10.0,,,,0.6815
0.001_linear_nogamma_desc,0.811,0.016,0.185,0.028,0.882,0.014,0.107,0.002,linear,desc,0.001,,,,0.5335
0.010_linear_nogamma_desc,0.81,0.015,0.172,0.028,0.877,0.019,0.109,0.004,linear,desc,0.01,,,,0.5245
0.100_linear_nogamma_desc,0.812,0.015,0.166,0.03,0.874,0.021,0.113,0.002,linear,desc,0.1,,,,0.52
1.000_linear_nogamma_desc,0.812,0.012,0.163,0.026,0.872,0.023,0.113,0.002,linear,desc,1.0,,,,0.5175
10.000_linear_nogamma_desc,0.814,0.012,0.155,0.033,0.869,0.025,0.114,0.002,linear,desc,10.0,,,,0.512
0.001_linear_nogamma_fps,0.811,0.037,0.527,0.047,0.918,0.02,0.528,0.041,linear,fps,0.001,,,,0.7225
0.010_linear_nogamma_fps,0.769,0.028,0.489,0.039,0.906,0.018,0.51,0.021,linear,fps,0.01,,,,0.6975
0.100_linear_nogamma_fps,0.767,0.032,0.479,0.039,0.905,0.018,0.501,0.033,linear,fps,0.1,,,,0.692
1.000_linear_nogamma_fps,0.767,0.032,0.479,0.039,0.905,0.018,0.501,0.033,linear,fps,1.0,,,,0.692
10.000_linear_nogamma_fps,0.767,0.032,0.479,0.039,0.905,0.018,0.501,0.033,linear,fps,10.0,,,,0.692
0.100_poly_scale_0.0_3_both,0.728,0.012,0.724,0.032,0.969,0.006,0.617,0.02,poly,both,0.1,scale,3.0,0.0,0.8465
0.100_poly_scale_0.0_2_both,0.788,0.023,0.734,0.034,0.958,0.011,0.699,0.036,poly,both,0.1,scale,2.0,0.0,0.846
10.000_poly_scale_0.3_3_both,0.766,0.016,0.74,0.04,0.949,0.013,0.682,0.023,poly,both,10.0,scale,3.0,0.3,0.8445
10.000_poly_scale_0.0_2_both,0.778,0.011,0.741,0.038,0.946,0.015,0.697,0.016,poly,both,10.0,scale,2.0,0.0,0.8434999999999999
10.000_poly_scale_0.3_4_both,0.732,0.016,0.734,0.041,0.953,0.014,0.626,0.03,poly,both,10.0,scale,4.0,0.3,0.8434999999999999
10.000_poly_scale_0.0_3_both,0.733,0.014,0.726,0.045,0.96,0.015,0.627,0.026,poly,both,10.0,scale,3.0,0.0,0.843
0.100_poly_scale_0.0_4_both,0.691,0.01,0.715,0.031,0.967,0.006,0.549,0.02,poly,both,0.1,scale,4.0,0.0,0.841
0.100_poly_scale_0.3_2_both,0.811,0.023,0.726,0.037,0.952,0.014,0.709,0.039,poly,both,0.1,scale,2.0,0.3,0.839
10.000_poly_scale_1.0_4_both,0.771,0.01,0.733,0.038,0.942,0.012,0.689,0.015,poly,both,10.0,scale,4.0,1.0,0.8374999999999999
10.000_poly_scale_0.3_2_both,0.79,0.013,0.732,0.035,0.941,0.011,0.716,0.022,poly,both,10.0,scale,2.0,0.3,0.8365
10.000_poly_scale_0.0_4_both,0.691,0.028,0.706,0.046,0.958,0.015,0.545,0.061,poly,both,10.0,scale,4.0,0.0,0.832
10.000_poly_scale_1.0_3_both,0.782,0.015,0.725,0.035,0.938,0.011,0.703,0.022,poly,both,10.0,scale,3.0,1.0,0.8314999999999999
1.000_poly_scale_0.0_2_both,0.782,0.025,0.715,0.033,0.948,0.009,0.694,0.036,poly,both,1.0,scale,2.0,0.0,0.8314999999999999
1.000_poly_scale_0.3_3_both,0.767,0.025,0.712,0.038,0.946,0.01,0.678,0.041,poly,both,1.0,scale,3.0,0.3,0.829
1.000_poly_scale_0.0_3_both,0.738,0.02,0.695,0.043,0.955,0.005,0.631,0.037,poly,both,1.0,scale,3.0,0.0,0.825
1.000_poly_scale_0.3_2_both,0.789,0.022,0.708,0.035,0.938,0.011,0.701,0.029,poly,both,1.0,scale,2.0,0.3,0.823
1.000_poly_scale_0.3_4_both,0.735,0.019,0.697,0.047,0.949,0.01,0.626,0.035,poly,both,1.0,scale,4.0,0.3,0.823
1.000_poly_scale_1.0_4_both,0.775,0.024,0.705,0.041,0.94,0.011,0.69,0.038,poly,both,1.0,scale,4.0,1.0,0.8225
1.000_poly_scale_1.0_3_both,0.783,0.019,0.7,0.04,0.935,0.013,0.697,0.024,poly,both,1.0,scale,3.0,1.0,0.8175
10.000_poly_scale_1.0_2_both,0.798,0.01,0.702,0.029,0.93,0.011,0.713,0.013,poly,both,10.0,scale,2.0,1.0,0.8160000000000001
1.000_poly_scale_0.0_4_both,0.698,0.014,0.677,0.047,0.953,0.006,0.558,0.029,poly,both,1.0,scale,4.0,0.0,0.815
0.100_poly_scale_0.3_3_both,0.741,0.026,0.688,0.024,0.935,0.014,0.632,0.044,poly,both,0.1,scale,3.0,0.3,0.8115
0.100_poly_scale_0.3_4_both,0.707,0.023,0.683,0.022,0.94,0.011,0.577,0.044,poly,both,0.1,scale,4.0,0.3,0.8115
0.100_poly_scale_1.0_4_both,0.737,0.019,0.687,0.027,0.926,0.015,0.632,0.033,poly,both,0.1,scale,4.0,1.0,0.8065
1.000_poly_scale_1.0_2_both,0.793,0.024,0.683,0.039,0.927,0.014,0.696,0.032,poly,both,1.0,scale,2.0,1.0,0.805
0.100_poly_scale_0.3_2_both,0.794,0.02,0.676,0.038,0.932,0.016,0.673,0.026,poly,both,0.1,scale,2.0,0.3,0.804
0.100_poly_scale_3.0_4_both,0.78,0.017,0.683,0.022,0.921,0.011,0.69,0.025,poly,both,0.1,scale,4.0,3.0,0.802
0.100_poly_scale_1.0_3_both,0.757,0.015,0.678,0.029,0.923,0.017,0.654,0.025,poly,both,0.1,scale,3.0,1.0,0.8005
0.100_poly_scale_3.0_3_both,0.786,0.014,0.675,0.021,0.917,0.012,0.69,0.019,poly,both,0.1,scale,3.0,3.0,0.796
0.100_poly_scale_3.0_2_both,0.814,0.014,0.642,0.031,0.918,0.01,0.645,0.022,poly,both,0.1,scale,2.0,3.0,0.78
0.100_poly_scale_1.0_2_both,0.802,0.022,0.632,0.047,0.922,0.017,0.624,0.039,poly,both,0.1,scale,2.0,1.0,0.777
0.100_poly_scale_10.0_4_both,0.782,0.018,0.638,0.032,0.913,0.01,0.659,0.023,poly,both,0.1,scale,4.0,10.0,0.7755000000000001
0.100_poly_scale_10.0_3_both,0.784,0.016,0.621,0.029,0.91,0.01,0.638,0.022,poly,both,0.1,scale,3.0,10.0,0.7655000000000001
0.100_poly_scale_10.0_2_both,0.802,0.015,0.602,0.032,0.91,0.012,0.606,0.015,poly,both,0.1,scale,2.0,10.0,0.756
0.100_poly_scale_-1.0_1_both,0.87,0.019,0.516,0.042,0.945,0.013,0.369,0.015,poly,both,0.1,scale,1.0,-1.0,0.7304999999999999
0.100_poly_scale_0.0_1_both,0.87,0.019,0.516,0.042,0.945,0.013,0.369,0.015,poly,both,0.1,scale,1.0,0.0,0.7304999999999999
0.100_poly_scale_0.3_1_both,0.87,0.019,0.516,0.042,0.945,0.013,0.369,0.015,poly,both,0.1,scale,1.0,0.3,0.7304999999999999
0.100_poly_scale_3.0_1_both,0.861,0.008,0.526,0.053,0.923,0.012,0.343,0.018,poly,both,0.1,scale,1.0,3.0,0.7245
0.100_poly_scale_10.0_1_both,0.861,0.008,0.526,0.053,0.923,0.012,0.344,0.018,poly,both,0.1,scale,1.0,10.0,0.7245
1.000_poly_scale_-1.0_1_both,0.813,0.017,0.511,0.042,0.916,0.02,0.499,0.008,poly,both,1.0,scale,1.0,-1.0,0.7135
1.000_poly_scale_0.0_1_both,0.813,0.017,0.511,0.042,0.916,0.02,0.499,0.008,poly,both,1.0,scale,1.0,0.0,0.7135
1.000_poly_scale_0.3_1_both,0.813,0.017,0.511,0.042,0.916,0.02,0.499,0.008,poly,both,1.0,scale,1.0,0.3,0.7135
1.000_poly_scale_1.0_1_both,0.813,0.017,0.511,0.042,0.916,0.02,0.499,0.008,poly,both,1.0,scale,1.0,1.0,0.7135
10.000_poly_scale_-1.0_1_both,0.776,0.014,0.514,0.027,0.908,0.014,0.539,0.025,poly,both,10.0,scale,1.0,-1.0,0.7110000000000001
10.000_poly_scale_0.0_1_both,0.776,0.014,0.514,0.027,0.908,0.014,0.539,0.025,poly,both,10.0,scale,1.0,0.0,0.7110000000000001
10.000_poly_scale_0.3_1_both,0.776,0.014,0.514,0.027,0.908,0.014,0.539,0.025,poly,both,10.0,scale,1.0,0.3,0.7110000000000001
10.000_poly_scale_1.0_1_both,0.776,0.014,0.514,0.027,0.908,0.014,0.539,0.025,poly,both,10.0,scale,1.0,1.0,0.7110000000000001
0.100_poly_scale_0.3_1_both,0.846,0.024,0.428,0.064,0.923,0.017,0.304,0.021,poly,both,0.1,scale,1.0,0.3,0.6755
0.100_poly_scale_1.0_1_both,0.846,0.024,0.428,0.064,0.923,0.017,0.304,0.021,poly,both,0.1,scale,1.0,1.0,0.6755
0.001_poly_scale_-1.0_1_both,0.608,0.015,0.263,0.035,0.865,0.026,0.304,0.037,poly,both,0.001,scale,1.0,-1.0,0.5640000000000001
0.001_poly_scale_-1.0_3_both,0.753,0.039,0.229,0.026,0.874,0.02,0.161,0.022,poly,both,0.001,scale,3.0,-1.0,0.5515
0.100_poly_scale_-1.0_3_both,0.762,0.018,0.142,0.012,0.84,0.02,0.07,0.004,poly,both,0.1,scale,3.0,-1.0,0.491
1.000_poly_scale_-1.0_3_both,0.732,0.018,0.09,0.018,0.804,0.018,0.06,0.003,poly,both,1.0,scale,3.0,-1.0,0.447
10.000_poly_scale_-1.0_3_both,0.718,0.018,0.094,0.015,0.797,0.015,0.059,0.003,poly,both,10.0,scale,3.0,-1.0,0.4455
1.000_poly_scale_-1.0_4_both,0.347,0.024,0.008,0.0,0.276,0.028,0.012,0.002,poly,both,1.0,scale,4.0,-1.0,0.142
0.100_poly_scale_-1.0_4_both,0.333,0.025,0.008,0.0,0.271,0.029,0.012,0.002,poly,both,0.1,scale,4.0,-1.0,0.1395
10.000_poly_scale_-1.0_4_both,0.325,0.011,0.008,0.0,0.262,0.016,0.012,0.001,poly,both,10.0,scale,4.0,-1.0,0.135
1.000_poly_scale_-1.0_2_both,0.336,0.022,0.007,0.0,0.261,0.029,0.012,0.002,poly,both,1.0,scale,2.0,-1.0,0.134
0.100_poly_scale_-1.0_2_both,0.31,0.02,0.008,0.0,0.25,0.028,0.011,0.001,poly,both,0.1,scale,2.0,-1.0,0.129
10.000_poly_scale_-1.0_2_both,0.309,0.014,0.008,0.0,0.242,0.017,0.011,0.001,poly,both,10.0,scale,2.0,-1.0,0.125
0.001_poly_scale_-1.0_4_both,0.264,0.022,0.007,0.0,0.191,0.029,0.008,0.001,poly,both,0.001,scale,4.0,-1.0,0.099
0.001_poly_scale_-1.0_2_both,0.234,0.015,0.006,0.0,0.157,0.026,0.007,0.002,poly,both,0.001,scale,2.0,-1.0,0.0815
1.000_poly_scale_0.3_3_desc,0.802,0.015,0.575,0.024,0.902,0.021,0.634,0.022,poly,desc,1.0,scale,3.0,0.3,0.7384999999999999
1.000_poly_scale_1.0_3_desc,0.806,0.016,0.57,0.025,0.905,0.021,0.634,0.02,poly,desc,1.0,scale,3.0,1.0,0.7375
1.000_poly_auto_0.3_3_desc,0.803,0.018,0.573,0.025,0.902,0.021,0.631,0.021,poly,desc,1.0,auto,3.0,0.3,0.7375
0.100_poly_auto_3.0_4_desc,0.801,0.023,0.567,0.026,0.902,0.021,0.63,0.023,poly,desc,0.1,auto,4.0,3.0,0.7344999999999999
0.100_poly_scale_3.0_4_desc,0.799,0.024,0.565,0.027,0.902,0.021,0.629,0.026,poly,desc,0.1,scale,4.0,3.0,0.7335
1.000_poly_auto_0.0_3_desc,0.803,0.025,0.577,0.027,0.89,0.017,0.624,0.03,poly,desc,1.0,auto,3.0,0.0,0.7335
1.000_poly_scale_0.0_3_desc,0.8,0.024,0.578,0.028,0.888,0.017,0.622,0.031,poly,desc,1.0,scale,3.0,0.0,0.733
0.010_poly_scale_10.0_4_desc,0.805,0.02,0.56,0.037,0.905,0.019,0.616,0.019,poly,desc,0.01,scale,4.0,10.0,0.7325
0.010_poly_auto_10.0_4_desc,0.805,0.02,0.558,0.036,0.905,0.019,0.612,0.018,poly,desc,0.01,auto,4.0,10.0,0.7315
0.100_poly_scale_0.3_3_desc,0.844,0.03,0.545,0.04,0.918,0.015,0.515,0.033,poly,desc,0.1,scale,3.0,0.3,0.7315
0.100_poly_scale_1.0_4_desc,0.806,0.023,0.558,0.025,0.904,0.02,0.605,0.03,poly,desc,0.1,scale,4.0,1.0,0.7310000000000001
0.100_poly_auto_0.3_3_desc,0.846,0.029,0.543,0.039,0.919,0.015,0.505,0.03,poly,desc,0.1,auto,3.0,0.3,0.7310000000000001
0.100_poly_auto_1.0_4_desc,0.809,0.021,0.556,0.027,0.905,0.02,0.6,0.031,poly,desc,0.1,auto,4.0,1.0,0.7305
1.000_poly_scale_3.0_3_desc,0.796,0.021,0.557,0.037,0.902,0.019,0.618,0.021,poly,desc,1.0,scale,3.0,3.0,0.7295
0.100_poly_scale_10.0_3_desc,0.808,0.02,0.552,0.04,0.906,0.016,0.579,0.021,poly,desc,0.1,scale,3.0,10.0,0.7290000000000001
0.100_poly_auto_10.0_3_desc,0.81,0.019,0.551,0.04,0.907,0.015,0.573,0.023,poly,desc,0.1,auto,3.0,10.0,0.7290000000000001
0.010_poly_scale_3.0_4_desc,0.835,0.026,0.54,0.03,0.914,0.014,0.541,0.024,poly,desc,0.01,scale,4.0,3.0,0.7270000000000001
0.100_poly_scale_0.3_4_desc,0.818,0.023,0.555,0.016,0.899,0.021,0.597,0.029,poly,desc,0.1,scale,4.0,0.3,0.7270000000000001
0.100_poly_scale_1.0_3_desc,0.839,0.025,0.537,0.036,0.917,0.016,0.506,0.023,poly,desc,0.1,scale,3.0,1.0,0.7270000000000001
0.100_poly_auto_0.3_4_desc,0.818,0.021,0.553,0.015,0.901,0.02,0.588,0.025,poly,desc,0.1,auto,4.0,0.3,0.7270000000000001
0.100_poly_auto_1.0_3_desc,0.84,0.025,0.536,0.037,0.918,0.015,0.498,0.022,poly,desc,0.1,auto,3.0,1.0,0.7270000000000001
0.010_poly_auto_3.0_4_desc,0.835,0.025,0.537,0.031,0.914,0.014,0.528,0.022,poly,desc,0.01,auto,4.0,3.0,0.7255
0.001_poly_0.1_3.0_3_desc,0.786,0.016,0.562,0.016,0.887,0.023,0.635,0.026,poly,desc,0.001,0.1,3.0,3.0,0.7245
0.100_poly_scale_3.0_3_desc,0.829,0.023,0.536,0.032,0.912,0.014,0.538,0.015,poly,desc,0.1,scale,3.0,3.0,0.724
0.010_poly_scale_1.0_4_desc,0.849,0.022,0.526,0.033,0.92,0.014,0.452,0.006,poly,desc,0.01,scale,4.0,1.0,0.7230000000000001
0.100_poly_auto_3.0_3_desc,0.829,0.024,0.533,0.032,0.913,0.014,0.527,0.019,poly,desc,0.1,auto,3.0,3.0,0.7230000000000001
0.001_poly_0.1_1.0_3_desc,0.783,0.015,0.563,0.022,0.881,0.019,0.626,0.025,poly,desc,0.001,0.1,3.0,1.0,0.722
0.010_poly_auto_1.0_4_desc,0.853,0.023,0.522,0.033,0.921,0.013,0.446,0.013,poly,desc,0.01,auto,4.0,1.0,0.7215
0.001_poly_0.1_10.0_3_desc,0.79,0.016,0.55,0.023,0.892,0.021,0.635,0.023,poly,desc,0.001,0.1,3.0,10.0,0.7210000000000001
1.000_poly_scale_1.0_4_desc,0.793,0.019,0.547,0.019,0.892,0.023,0.64,0.027,poly,desc,1.0,scale,4.0,1.0,0.7195
1.000_poly_auto_0.3_4_desc,0.785,0.023,0.55,0.014,0.887,0.02,0.633,0.035,poly,desc,1.0,auto,4.0,0.3,0.7185
0.001_poly_0.1_0.3_3_desc,0.782,0.016,0.558,0.026,0.878,0.017,0.625,0.028,poly,desc,0.001,0.1,3.0,0.3,0.718
0.010_poly_0.1_10.0_2_desc,0.808,0.015,0.533,0.045,0.902,0.016,0.565,0.02,poly,desc,0.01,0.1,2.0,10.0,0.7175
0.001_poly_scale_10.0_4_desc,0.843,0.024,0.519,0.037,0.914,0.014,0.502,0.018,poly,desc,0.001,scale,4.0,10.0,0.7165
1.000_poly_scale_0.3_4_desc,0.784,0.022,0.548,0.013,0.885,0.019,0.635,0.035,poly,desc,1.0,scale,4.0,0.3,0.7165
0.010_poly_0.1_3.0_2_desc,0.806,0.015,0.529,0.043,0.902,0.016,0.562,0.02,poly,desc,0.01,0.1,2.0,3.0,0.7155
1.000_poly_scale_10.0_3_desc,0.785,0.018,0.532,0.043,0.899,0.015,0.593,0.024,poly,desc,1.0,scale,3.0,10.0,0.7155
0.001_poly_auto_10.0_4_desc,0.844,0.024,0.516,0.038,0.914,0.014,0.491,0.02,poly,desc,0.001,auto,4.0,10.0,0.7150000000000001
0.010_poly_0.1_3.0_3_desc,0.786,0.016,0.545,0.017,0.885,0.024,0.633,0.023,poly,desc,0.01,0.1,3.0,3.0,0.7150000000000001
0.010_poly_0.1_10.0_3_desc,0.786,0.018,0.539,0.018,0.891,0.02,0.627,0.024,poly,desc,0.01,0.1,3.0,10.0,0.7150000000000001
0.001_poly_0.1_0.0_3_desc,0.779,0.02,0.554,0.027,0.875,0.015,0.613,0.032,poly,desc,0.001,0.1,3.0,0.0,0.7145
0.010_poly_0.1_1.0_3_desc,0.781,0.016,0.548,0.021,0.88,0.024,0.624,0.026,poly,desc,0.01,0.1,3.0,1.0,0.714
0.001_poly_0.5_10.0_2_desc,0.798,0.017,0.53,0.048,0.897,0.018,0.595,0.026,poly,desc,0.001,0.5,2.0,10.0,0.7135
0.010_poly_0.1_1.0_2_desc,0.806,0.014,0.525,0.041,0.901,0.016,0.567,0.014,poly,desc,0.01,0.1,2.0,1.0,0.7130000000000001
0.010_poly_0.1_0.3_3_desc,0.779,0.016,0.549,0.029,0.876,0.021,0.621,0.026,poly,desc,0.01,0.1,3.0,0.3,0.7125
1.000_poly_scale_10.0_2_desc,0.841,0.02,0.513,0.044,0.91,0.013,0.504,0.021,poly,desc,1.0,scale,2.0,10.0,0.7115
0.001_poly_0.5_3.0_2_desc,0.797,0.017,0.525,0.047,0.896,0.019,0.59,0.02,poly,desc,0.001,0.5,2.0,3.0,0.7105
1.000_poly_scale_3.0_2_desc,0.841,0.02,0.51,0.043,0.911,0.013,0.504,0.02,poly,desc,1.0,scale,2.0,3.0,0.7105
1.000_poly_scale_3.0_4_desc,0.782,0.02,0.527,0.029,0.894,0.018,0.61,0.03,poly,desc,1.0,scale,4.0,3.0,0.7105
0.100_poly_auto_10.0_4_desc,0.783,0.019,0.525,0.037,0.895,0.016,0.596,0.025,poly,desc,0.1,auto,4.0,10.0,0.71
0.100_poly_0.1_3.0_3_desc,0.782,0.022,0.54,0.021,0.88,0.019,0.622,0.034,poly,desc,0.1,0.1,3.0,3.0,0.71
1.000_poly_scale_1.0_2_desc,0.834,0.022,0.509,0.042,0.911,0.013,0.494,0.021,poly,desc,1.0,scale,2.0,1.0,0.71
0.001_poly_0.5_10.0_3_desc,0.78,0.021,0.542,0.024,0.877,0.019,0.621,0.032,poly,desc,0.001,0.5,3.0,10.0,0.7095
0.010_poly_0.1_0.3_2_desc,0.806,0.014,0.52,0.04,0.899,0.017,0.561,0.016,poly,desc,0.01,0.1,2.0,0.3,0.7095
0.010_poly_0.5_10.0_3_desc,0.78,0.021,0.542,0.024,0.877,0.019,0.621,0.032,poly,desc,0.01,0.5,3.0,10.0,0.7095
0.100_poly_scale_10.0_4_desc,0.784,0.018,0.524,0.037,0.895,0.016,0.597,0.022,poly,desc,0.1,scale,4.0,10.0,0.7095
0.100_poly_0.5_10.0_3_desc,0.78,0.021,0.542,0.024,0.877,0.019,0.621,0.032,poly,desc,0.1,0.5,3.0,10.0,0.7095
1.000_poly_scale_0.3_2_desc,0.833,0.02,0.507,0.043,0.912,0.014,0.491,0.016,poly,desc,1.0,scale,2.0,0.3,0.7095
0.010_poly_0.1_0.0_3_desc,0.776,0.018,0.544,0.034,0.874,0.017,0.613,0.033,poly,desc,0.01,0.1,3.0,0.0,0.7090000000000001
0.100_poly_0.1_10.0_3_desc,0.786,0.016,0.532,0.022,0.886,0.016,0.624,0.025,poly,desc,0.1,0.1,3.0,10.0,0.7090000000000001
0.100_poly_0.1_10.0_2_desc,0.787,0.019,0.522,0.044,0.895,0.015,0.584,0.027,poly,desc,0.1,0.1,2.0,10.0,0.7085
1.000_poly_auto_0.3_2_desc,0.836,0.022,0.504,0.045,0.913,0.014,0.488,0.019,poly,desc,1.0,auto,2.0,0.3,0.7085
1.000_poly_scale_0.3_3_desc,0.783,0.023,0.544,0.035,0.873,0.018,0.603,0.025,poly,desc,1.0,scale,3.0,0.3,0.7085
1.000_poly_scale_1.0_3_desc,0.782,0.028,0.538,0.032,0.879,0.014,0.603,0.036,poly,desc,1.0,scale,3.0,1.0,0.7085
0.001_poly_0.5_3.0_3_desc,0.78,0.019,0.543,0.032,0.873,0.018,0.62,0.031,poly,desc,0.001,0.5,3.0,3.0,0.708
0.010_poly_0.5_3.0_3_desc,0.78,0.019,0.543,0.032,0.873,0.018,0.62,0.031,poly,desc,0.01,0.5,3.0,3.0,0.708
0.100_poly_0.1_1.0_3_desc,0.78,0.02,0.542,0.029,0.874,0.019,0.619,0.028,poly,desc,0.1,0.1,3.0,1.0,0.708
0.100_poly_0.5_3.0_3_desc,0.78,0.019,0.543,0.032,0.873,0.018,0.62,0.031,poly,desc,0.1,0.5,3.0,3.0,0.708
0.001_poly_0.5_1.0_2_desc,0.792,0.015,0.52,0.047,0.895,0.019,0.582,0.024,poly,desc,0.001,0.5,2.0,1.0,0.7075
0.100_poly_0.1_0.3_3_desc,0.779,0.019,0.542,0.036,0.872,0.017,0.617,0.03,poly,desc,0.1,0.1,3.0,0.3,0.7070000000000001
0.100_poly_0.1_3.0_2_desc,0.783,0.017,0.52,0.043,0.894,0.014,0.583,0.027,poly,desc,0.1,0.1,2.0,3.0,0.7070000000000001
0.001_poly_0.5_1.0_3_desc,0.778,0.019,0.541,0.036,0.871,0.016,0.614,0.029,poly,desc,0.001,0.5,3.0,1.0,0.706
0.010_poly_0.5_1.0_3_desc,0.778,0.019,0.541,0.036,0.871,0.016,0.614,0.029,poly,desc,0.01,0.5,3.0,1.0,0.706
0.100_poly_0.5_1.0_3_desc,0.778,0.019,0.541,0.036,0.871,0.016,0.614,0.029,poly,desc,0.1,0.5,3.0,1.0,0.706
0.001_poly_0.5_0.3_2_desc,0.794,0.014,0.517,0.045,0.894,0.019,0.579,0.025,poly,desc,0.001,0.5,2.0,0.3,0.7055
1.000_poly_scale_10.0_4_desc,0.781,0.019,0.516,0.038,0.895,0.016,0.593,0.026,poly,desc,1.0,scale,4.0,10.0,0.7055
0.001_poly_0.5_0.3_3_desc,0.777,0.02,0.539,0.038,0.871,0.015,0.612,0.035,poly,desc,0.001,0.5,3.0,0.3,0.7050000000000001
0.010_poly_0.5_0.3_3_desc,0.777,0.02,0.539,0.038,0.871,0.015,0.612,0.035,poly,desc,0.01,0.5,3.0,0.3,0.7050000000000001
0.100_poly_0.1_1.0_2_desc,0.785,0.02,0.517,0.044,0.893,0.015,0.588,0.036,poly,desc,0.1,0.1,2.0,1.0,0.7050000000000001
0.001_poly_0.5_0.0_3_desc,0.778,0.019,0.539,0.038,0.87,0.013,0.612,0.03,poly,desc,0.001,0.5,3.0,0.0,0.7045
0.010_poly_0.5_0.0_3_desc,0.778,0.019,0.539,0.038,0.87,0.013,0.612,0.03,poly,desc,0.01,0.5,3.0,0.0,0.7045
0.100_poly_0.1_0.0_3_desc,0.778,0.019,0.539,0.038,0.87,0.013,0.612,0.03,poly,desc,0.1,0.1,3.0,0.0,0.7045
0.100_poly_0.5_0.0_3_desc,0.778,0.019,0.539,0.038,0.87,0.013,0.612,0.03,poly,desc,0.1,0.5,3.0,0.0,0.7045
0.100_poly_0.5_0.3_3_desc,0.777,0.02,0.538,0.038,0.871,0.015,0.612,0.035,poly,desc,0.1,0.5,3.0,0.3,0.7045
5.000_poly_scale_0.3_3_desc,0.764,0.022,0.535,0.042,0.873,0.022,0.6,0.04,poly,desc,5.0,scale,3.0,0.3,0.704
5.000_poly_scale_1.0_3_desc,0.767,0.02,0.527,0.033,0.881,0.012,0.588,0.03,poly,desc,5.0,scale,3.0,1.0,0.704
0.001_poly_0.1_10.0_4_desc,0.784,0.017,0.523,0.016,0.884,0.022,0.629,0.02,poly,desc,0.001,0.1,4.0,10.0,0.7035
0.010_poly_0.1_10.0_4_desc,0.784,0.017,0.523,0.016,0.884,0.022,0.629,0.02,poly,desc,0.01,0.1,4.0,10.0,0.7035
0.100_poly_0.1_10.0_4_desc,0.784,0.017,0.523,0.016,0.884,0.022,0.629,0.02,poly,desc,0.1,0.1,4.0,10.0,0.7035
0.100_poly_scale_0.0_3_desc,0.816,0.027,0.5,0.03,0.906,0.01,0.519,0.018,poly,desc,0.1,scale,3.0,0.0,0.7030000000000001
0.100_poly_0.1_0.3_2_desc,0.783,0.022,0.513,0.046,0.892,0.016,0.586,0.035,poly,desc,0.1,0.1,2.0,0.3,0.7025
1.000_poly_scale_3.0_3_desc,0.775,0.026,0.521,0.026,0.883,0.011,0.593,0.033,poly,desc,1.0,scale,3.0,3.0,0.702
0.010_poly_scale_10.0_3_desc,0.856,0.027,0.487,0.051,0.916,0.013,0.416,0.023,poly,desc,0.01,scale,3.0,10.0,0.7015
1.000_poly_scale_1.0_4_desc,0.768,0.02,0.526,0.035,0.877,0.016,0.605,0.034,poly,desc,1.0,scale,4.0,1.0,0.7015
0.001_poly_scale_3.0_4_desc,0.872,0.027,0.478,0.038,0.924,0.011,0.35,0.009,poly,desc,0.001,scale,4.0,3.0,0.7010000000000001
0.001_poly_0.5_0.0_2_desc,0.795,0.013,0.511,0.046,0.891,0.019,0.578,0.022,poly,desc,0.001,0.5,2.0,0.0,0.7010000000000001
0.001_poly_0.1_10.0_2_desc,0.852,0.023,0.481,0.047,0.92,0.013,0.426,0.02,poly,desc,0.001,0.1,2.0,10.0,0.7005
0.010_poly_auto_10.0_3_desc,0.859,0.025,0.484,0.05,0.917,0.013,0.409,0.019,poly,desc,0.01,auto,3.0,10.0,0.7005
0.010_poly_0.5_10.0_2_desc,0.782,0.018,0.51,0.043,0.891,0.012,0.581,0.028,poly,desc,0.01,0.5,2.0,10.0,0.7005
5.000_poly_scale_0.3_2_desc,0.785,0.029,0.517,0.049,0.884,0.01,0.548,0.045,poly,desc,5.0,scale,2.0,0.3,0.7005
10.000_poly_scale_0.3_3_desc,0.763,0.017,0.529,0.041,0.872,0.022,0.598,0.034,poly,desc,10.0,scale,3.0,0.3,0.7005
0.010_poly_0.1_0.0_2_desc,0.802,0.014,0.506,0.042,0.894,0.02,0.552,0.02,poly,desc,0.01,0.1,2.0,0.0,0.7
0.001_poly_0.1_3.0_2_desc,0.85,0.023,0.479,0.046,0.92,0.013,0.429,0.02,poly,desc,0.001,0.1,2.0,3.0,0.6995
0.001_poly_auto_3.0_4_desc,0.875,0.023,0.474,0.04,0.924,0.011,0.345,0.007,poly,desc,0.001,auto,4.0,3.0,0.6990000000000001
